,name,rating,review,salaries,interviews,jobs,ctype_and_location
2107,Kyndryl,4.0,(3.8k),3.8k,26.9k,231,IT Services & Consulting | Bengaluru +39 other locations
2108,Reliance Communications,4.0,(3.8k),3.8k,9.4k,106,Telecom | Mumbai +467 other locations
2109,PNB MetLife,3.3,(3.8k),3.8k,8.2k,196,Insurance | New Delhi +425 other locations
2110,Subros,3.8,(3.8k),3.8k,12.6k,218,Auto Components | Noida +90 other locations
2111,Kyndryl,4.0,(3.8k),3.8k,26.9k,231,IT Services & Consulting | Bengaluru +39 other locations
2112,Reliance Communications,4.0,(3.8k),3.8k,9.4k,106,Telecom | Mumbai +467 other locations
2113,PNB MetLife,3.3,(3.8k),3.8k,8.2k,196,Insurance | New Delhi +425 other locations
2114,Altruist Technologies,4.4,(3.8k),3.8k,8.3k,722,BPO | Bengaluru +43 other locations
2115,Subros,3.8,(3.8k),3.8k,12.6k,218,Auto Components | Noida +90 other locations
2116,Kyndryl,4.0,(3.8k),3.8k,26.9k,231,IT Services & Consulting | Bengaluru +39 other locations
2117,Reliance Communications,4.0,(3.8k),3.8k,9.4k,106,Telecom | Mumbai +467 other locations
2118,PNB MetLife,3.3,(3.8k),3.8k,8.2k,196,Insurance | New Delhi +425 other locations
2119,Altruist Technologies,4.4,(3.8k),3.8k,8.3k,722,BPO | Bengaluru +43 other locations
2120,ADP Private Limited,3.9,(3.8k),3.8k,22.3k,294,Software Product | Hyderabad +41 other locations
2121,Subros,3.8,(3.8k),3.8k,12.6k,218,Auto Components | Noida +90 other locations
2122,Kyndryl,4.0,(3.8k),3.8k,26.9k,231,IT Services & Consulting | Bengaluru +39 other locations
2123,Reliance Communications,4.0,(3.8k),3.8k,9.4k,106,Telecom | Mumbai +467 other locations
2124,PNB MetLife,3.3,(3.8k),3.8k,8.2k,196,Insurance | New Delhi +425 other locations
2125,Altruist Technologies,4.4,(3.8k),3.8k,8.3k,722,BPO | Bengaluru +43 other locations
2126,ADP Private Limited,3.9,(3.8k),3.8k,22.3k,294,Software Product | Hyderabad +41 other locations
2127,XpressBees,4.2,(3.8k),3.8k,8.2k,444,Logistics | Pune +479 other locations
2128,Subros,3.8,(3.8k),3.8k,12.6k,218,Auto Components | Noida +90 other locations
2129,Kyndryl,4.0,(3.8k),3.8k,26.9k,231,IT Services & Consulting | Bengaluru +39 other locations
2130,Reliance Communications,4.0,(3.8k),3.8k,9.4k,106,Telecom | Mumbai +467 other locations
2131,PNB MetLife,3.3,(3.8k),3.8k,8.2k,196,Insurance | New Delhi +425 other locations
2132,Altruist Technologies,4.4,(3.8k),3.8k,8.3k,722,BPO | Bengaluru +43 other locations
2133,ADP Private Limited,3.9,(3.8k),3.8k,22.3k,294,Software Product | Hyderabad +41 other locations
2134,XpressBees,4.2,(3.8k),3.8k,8.2k,444,Logistics | Pune +479 other locations
2135,Aditya Birla Capital,3.8,(3.8k),3.8k,14.1k,261,NBFC | Mumbai +344 other locations
2136,Subros,3.8,(3.8k),3.8k,12.6k,218,Auto Components | Noida +90 other locations
2137,Kyndryl,4.0,(3.8k),3.8k,26.9k,231,IT Services & Consulting | Bengaluru +39 other locations
2138,Reliance Communications,4.0,(3.8k),3.8k,9.4k,106,Telecom | Mumbai +467 other locations
2139,PNB MetLife,3.3,(3.8k),3.8k,8.2k,196,Insurance | New Delhi +425 other locations
2140,Altruist Technologies,4.4,(3.8k),3.8k,8.3k,722,BPO | Bengaluru +43 other locations
2141,ADP Private Limited,3.9,(3.8k),3.8k,22.3k,294,Software Product | Hyderabad +41 other locations
2142,XpressBees,4.2,(3.8k),3.8k,8.2k,444,Logistics | Pune +479 other locations
2143,Aditya Birla Capital,3.8,(3.8k),3.8k,14.1k,261,NBFC | Mumbai +344 other locations
2144,Viatris,4.1,(3.8k),3.8k,14.1k,168,Pharma | Hyderabad +80 other locations
2145,Subros,3.8,(3.8k),3.8k,12.6k,218,Auto Components | Noida +90 other locations
2146,Kyndryl,4.0,(3.8k),3.8k,26.9k,231,IT Services & Consulting | Bengaluru +39 other locations
2147,Reliance Communications,4.0,(3.8k),3.8k,9.4k,106,Telecom | Mumbai +467 other locations
2148,PNB MetLife,3.3,(3.8k),3.8k,8.2k,196,Insurance | New Delhi +425 other locations
2149,Altruist Technologies,4.4,(3.8k),3.8k,8.3k,722,BPO | Bengaluru +43 other locations
2150,ADP Private Limited,3.9,(3.8k),3.8k,22.3k,294,Software Product | Hyderabad +41 other locations
2151,XpressBees,4.2,(3.8k),3.8k,8.2k,444,Logistics | Pune +479 other locations
2152,Aditya Birla Capital,3.8,(3.8k),3.8k,14.1k,261,NBFC | Mumbai +344 other locations
2153,Viatris,4.1,(3.8k),3.8k,14.1k,168,Pharma | Hyderabad +80 other locations
2154,PVR INOX,3.9,(3.8k),3.8k,9.5k,218,Media & Entertainment | New Delhi +149 other locations
2155,Subros,3.8,(3.8k),3.8k,12.6k,218,Auto Components | Noida +90 other locations
2156,Kyndryl,4.0,(3.8k),3.8k,26.9k,231,IT Services & Consulting | Bengaluru +39 other locations
2157,Reliance Communications,4.0,(3.8k),3.8k,9.4k,106,Telecom | Mumbai +467 other locations
2158,PNB MetLife,3.3,(3.8k),3.8k,8.2k,196,Insurance | New Delhi +425 other locations
2159,Altruist Technologies,4.4,(3.8k),3.8k,8.3k,722,BPO | Bengaluru +43 other locations
2160,ADP Private Limited,3.9,(3.8k),3.8k,22.3k,294,Software Product | Hyderabad +41 other locations
2161,XpressBees,4.2,(3.8k),3.8k,8.2k,444,Logistics | Pune +479 other locations
2162,Aditya Birla Capital,3.8,(3.8k),3.8k,14.1k,261,NBFC | Mumbai +344 other locations
2163,Viatris,4.1,(3.8k),3.8k,14.1k,168,Pharma | Hyderabad +80 other locations
2164,PVR INOX,3.9,(3.8k),3.8k,9.5k,218,Media & Entertainment | New Delhi +149 other locations
2165,Escorts Kubota Limited,4.0,(3.8k),3.8k,13.5k,304,Automobile | Faridabad +158 other locations
2166,Subros,3.8,(3.8k),3.8k,12.6k,218,Auto Components | Noida +90 other locations
2167,Kyndryl,4.0,(3.8k),3.8k,26.9k,231,IT Services & Consulting | Bengaluru +39 other locations
2168,Reliance Communications,4.0,(3.8k),3.8k,9.4k,106,Telecom | Mumbai +467 other locations
2169,PNB MetLife,3.3,(3.8k),3.8k,8.2k,196,Insurance | New Delhi +425 other locations
2170,Altruist Technologies,4.4,(3.8k),3.8k,8.3k,722,BPO | Bengaluru +43 other locations
2171,ADP Private Limited,3.9,(3.8k),3.8k,22.3k,294,Software Product | Hyderabad +41 other locations
2172,XpressBees,4.2,(3.8k),3.8k,8.2k,444,Logistics | Pune +479 other locations
2173,Aditya Birla Capital,3.8,(3.8k),3.8k,14.1k,261,NBFC | Mumbai +344 other locations
2174,Viatris,4.1,(3.8k),3.8k,14.1k,168,Pharma | Hyderabad +80 other locations
2175,PVR INOX,3.9,(3.8k),3.8k,9.5k,218,Media & Entertainment | New Delhi +149 other locations
2176,Escorts Kubota Limited,4.0,(3.8k),3.8k,13.5k,304,Automobile | Faridabad +158 other locations
2177,Maersk,4.0,(3.7k),3.7k,19.2k,251,Logistics | Chennai +49 other locations
2178,Subros,3.8,(3.8k),3.8k,12.6k,218,Auto Components | Noida +90 other locations
2179,Kyndryl,4.0,(3.8k),3.8k,26.9k,231,IT Services & Consulting | Bengaluru +39 other locations
2180,Reliance Communications,4.0,(3.8k),3.8k,9.4k,106,Telecom | Mumbai +467 other locations
2181,PNB MetLife,3.3,(3.8k),3.8k,8.2k,196,Insurance | New Delhi +425 other locations
2182,Altruist Technologies,4.4,(3.8k),3.8k,8.3k,722,BPO | Bengaluru +43 other locations
2183,ADP Private Limited,3.9,(3.8k),3.8k,22.3k,294,Software Product | Hyderabad +41 other locations
2184,XpressBees,4.2,(3.8k),3.8k,8.2k,444,Logistics | Pune +479 other locations
2185,Aditya Birla Capital,3.8,(3.8k),3.8k,14.1k,261,NBFC | Mumbai +344 other locations
2186,Viatris,4.1,(3.8k),3.8k,14.1k,168,Pharma | Hyderabad +80 other locations
2187,PVR INOX,3.9,(3.8k),3.8k,9.5k,218,Media & Entertainment | New Delhi +149 other locations
2188,Escorts Kubota Limited,4.0,(3.8k),3.8k,13.5k,304,Automobile | Faridabad +158 other locations
2189,Maersk,4.0,(3.7k),3.7k,19.2k,251,Logistics | Chennai +49 other locations
2190,KPIT Technologies,2.9,(3.7k),3.7k,23.4k,347,Software Product | Pune +43 other locations
2191,Subros,3.8,(3.8k),3.8k,12.6k,218,Auto Components | Noida +90 other locations
2192,Kyndryl,4.0,(3.8k),3.8k,26.9k,231,IT Services & Consulting | Bengaluru +39 other locations
2193,Reliance Communications,4.0,(3.8k),3.8k,9.4k,106,Telecom | Mumbai +467 other locations
2194,PNB MetLife,3.3,(3.8k),3.8k,8.2k,196,Insurance | New Delhi +425 other locations
2195,Altruist Technologies,4.4,(3.8k),3.8k,8.3k,722,BPO | Bengaluru +43 other locations
2196,ADP Private Limited,3.9,(3.8k),3.8k,22.3k,294,Software Product | Hyderabad +41 other locations
2197,XpressBees,4.2,(3.8k),3.8k,8.2k,444,Logistics | Pune +479 other locations
2198,Aditya Birla Capital,3.8,(3.8k),3.8k,14.1k,261,NBFC | Mumbai +344 other locations
2199,Viatris,4.1,(3.8k),3.8k,14.1k,168,Pharma | Hyderabad +80 other locations
2200,PVR INOX,3.9,(3.8k),3.8k,9.5k,218,Media & Entertainment | New Delhi +149 other locations
2201,Escorts Kubota Limited,4.0,(3.8k),3.8k,13.5k,304,Automobile | Faridabad +158 other locations
2202,Maersk,4.0,(3.7k),3.7k,19.2k,251,Logistics | Chennai +49 other locations
2203,KPIT Technologies,2.9,(3.7k),3.7k,23.4k,347,Software Product | Pune +43 other locations
2204,Synechron,3.4,(3.7k),3.7k,28.5k,407,IT Services & Consulting | Pune +33 other locations
